Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;51;;;;63041;;;;;
01;Østfold;;;;;H;Høyre;20;;;;24330;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;9;;;;11109;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;1;;;;1380;;;;;
01;Østfold;;;;;SF;Sosialistisk Folkeparti;7;;;;8051;;;;;
01;Østfold;;;;;FLV;Fellesliste Venstre;4;;;;4352;;;;;
01;Østfold;;;;;FLSP;Fellesliste Senterpartiet;8;;;;10361;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;43;;;;64882;;;;;
02;Akershus;;;;;H;Høyre;26;;;;38878;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;5;;;;6868;;;;;
02;Akershus;;;;;SP;Senterpartiet;9;;;;13511;;;;;
02;Akershus;;;;;V;Venstre;11;;;;16243;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;1;;;;1879;;;;;
02;Akershus;;;;;SF;Sosialistisk Folkeparti;6;;;;9866;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;40;;;;122953;;;;;
03;Oslo;;;;;H;Høyre;39;;;;118279;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;15566;;;;;
03;Oslo;;;;;V;Venstre;7;;;;20704;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;1;;;;4523;;;;;
03;Oslo;;;;;SF;Sosialistisk Folkeparti;8;;;;23930;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;163;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;57;;;;59484;;;;;
04;Hedmark;;;;;H;Høyre;10;;;;10853;;;;;
04;Hedmark;;;;;SP;Senterpartiet;19;;;;20173;;;;;
04;Hedmark;;;;;V;Venstre;3;;;;2666;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;5;;;;5703;;;;;
04;Hedmark;;;;;SF;Sosialistisk Folkeparti;5;;;;5344;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;1;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;54;;;;50755;;;;;
05;Oppland;;;;;H;Høyre;11;;;;10735;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;4;;;;3890;;;;;
05;Oppland;;;;;SP;Senterpartiet;20;;;;18951;;;;;
05;Oppland;;;;;V;Venstre;5;;;;4992;;;;;
