Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;51;;;;70423;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;1;;;;1792;;;;;
01;Østfold;;;;;H;Høyre;21;;;;29441;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;12;;;;16084;;;;;
01;Østfold;;;;;SP;Senterpartiet;8;;;;10663;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;3;;;;4222;;;;;
01;Østfold;;;;;V;Venstre;2;;;;2245;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;481;;;;;
01;Østfold;;;;;RV;Rød valgallianse;0;;;;458;;;;;
01;Østfold;;;;;FF;Frie Folkevalgte;0;;;;75;;;;;
01;Østfold;;;;;DNF;Det nye Folkepartiet;1;;;;862;;;;;
01;Østfold;;;;;EP;Ensliges parti;0;;;;99;;;;;
01;Østfold;;;;;NDP;Norges demokratiske parti;0;;;;94;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;40;;;;83303;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;2;;;;4458;;;;;
02;Akershus;;;;;H;Høyre;35;;;;71740;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;13764;;;;;
02;Akershus;;;;;SP;Senterpartiet;6;;;;13222;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;5;;;;9618;;;;;
02;Akershus;;;;;V;Venstre;3;;;;6458;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;0;;;;619;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;1362;;;;;
02;Akershus;;;;;FF;Frie Folkevalgte;0;;;;69;;;;;
02;Akershus;;;;;DNF;Det nye Folkepartiet;1;;;;2059;;;;;
02;Akershus;;;;;EP;Ensliges parti;0;;;;172;;;;;
02;Akershus;;;;;NDP;Norges demokratiske parti;0;;;;99;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;40;;;;118684;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;2;;;;5911;;;;;
03;Oslo;;;;;H;Høyre;39;;;;115607;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;6;;;;16869;;;;;
03;Oslo;;;;;V;Venstre;2;;;;7097;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;1234;;;;;
03;Oslo;;;;;RV;Rød valgallianse;1;;;;4368;;;;;
03;Oslo;;;;;FF;Frie Folkevalgte;0;;;;171;;;;;
03;Oslo;;;;;EP;Ensliges parti;0;;;;835;;;;;
03;Oslo;;;;;NDP;Norges demokratiske parti;0;;;;146;;;;;
03;Oslo;;;;;FLKRF;Fellesliste Kristelig folkeparti;7;;;;20801;;;;;
03;Oslo;;;;;FLSP;Fellesliste Senterpartiet;1;;;;3195;;;;;
03;Oslo;;;;;FLDNF;Fellesliste Det nye Folkepartiet;1;;;;1650;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;60;;;;67684;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;1;;;;915;;;;;
04;Hedmark;;;;;H;Høyre;11;;;;12493;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;6;;;;6463;;;;;
04;Hedmark;;;;;SP;Senterpartiet;13;;;;15069;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;6;;;;6770;;;;;
04;Hedmark;;;;;V;Venstre;1;;;;1359;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;1;;;;800;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;266;;;;;
04;Hedmark;;;;;FF;Frie Folkevalgte;0;;;;83;;;;;
04;Hedmark;;;;;DNF;Det nye Folkepartiet;0;;;;518;;;;;
04;Hedmark;;;;;EP;Ensliges parti;0;;;;56;;;;;
04;Hedmark;;;;;NDP;Norges demokratiske parti;0;;;;58;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;56;;;;59049;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;1;;;;874;;;;;
05;Oppland;;;;;H;Høyre;12;;;;12524;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;9;;;;9569;;;;;
05;Oppland;;;;;SP;Senterpartiet;16;;;;17066;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;3;;;;3121;;;;;
05;Oppland;;;;;V;Venstre;2;;;;2008;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;0;;;;278;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;287;;;;;
05;Oppland;;;;;FF;Frie Folkevalgte;0;;;;34;;;;;
05;Oppland;;;;;DNF;Det nye Folkepartiet;0;;;;437;;;;;
05;Oppland;;;;;EP;Ensliges parti;0;;;;99;;;;;
05;Oppland;;;;;NDP;Norges demokratiske parti;0;;;;36;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;49;;;;62108;;;;;
06;Buskerud;;;;;FRP;Fremskrittspartiet;2;;;;2030;;;;;
06;Buskerud;;;;;H;Høyre;25;;;;31159;;;;;
06;Buskerud;;;;;SP;Senterpartiet;9;;;;11750;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;4;;;;5111;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;0;;;;589;;;;;
06;Buskerud;;;;;RV;Rød valgallianse;0;;;;377;;;;;
06;Buskerud;;;;;FF;Frie Folkevalgte;0;;;;80;;;;;
06;Buskerud;;;;;EP;Ensliges parti;0;;;;150;;;;;
06;Buskerud;;;;;NDP;Norges demokratiske parti;0;;;;113;;;;;
06;Buskerud;;;;;FLV;Fellesliste Venstre;2;;;;2133;;;;;
06;Buskerud;;;;;FLKRF;Fellesliste Kristelig folkeparti;7;;;;9356;;;;;
06;Buskerud;;;;;FLDNF;Fellesliste Det nye Folkepartiet;0;;;;609;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;40;;;;42757;;;;;
07;Vestfold;;;;;FRP;Fremskrittspartiet;2;;;;2139;;;;;
07;Vestfold;;;;;H;Høyre;34;;;;36244;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;10;;;;10940;;;;;
07;Vestfold;;;;;SP;Senterpartiet;7;;;;7731;;;;;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;3;;;;2741;;;;;
07;Vestfold;;;;;V;Venstre;3;;;;2984;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;157;;;;;
07;Vestfold;;;;;RV;Rød valgallianse;0;;;;361;;;;;
07;Vestfold;;;;;FF;Frie Folkevalgte;0;;;;59;;;;;
07;Vestfold;;;;;DNF;Det nye Folkepartiet;1;;;;1134;;;;;
07;Vestfold;;;;;EP;Ensliges parti;0;;;;109;;;;;
07;Vestfold;;;;;NDP;Norges demokratiske parti;0;;;;44;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;50;;;;46693;;;;;
08;Telemark;;;;;FRP;Fremskrittspartiet;1;;;;1159;;;;;
08;Telemark;;;;;H;Høyre;15;;;;14481;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;13;;;;12470;;;;;
08;Telemark;;;;;SP;Senterpartiet;8;;;;7951;;;;;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;5;;;;4805;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;0;;;;298;;;;;
08;Telemark;;;;;RV;Rød valgallianse;0;;;;391;;;;;
08;Telemark;;;;;FF;Frie Folkevalgte;0;;;;37;;;;;
08;Telemark;;;;;EP;Ensliges parti;0;;;;72;;;;;
08;Telemark;;;;;NDP;Norges demokratiske parti;0;;;;43;;;;;
08;Telemark;;;;;FLV;Fellesliste Venstre;4;;;;3655;;;;;
08;Telemark;;;;;FLDNF;Fellesliste Det nye Folkepartiet;2;;;;1541;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;39;;;;19037;;;;;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;3;;;;1613;;;;;
09;Aust-Agder;;;;;H;Høyre;22;;;;10606;;;;;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;2;;;;965;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;0;;;;60;;;;;
09;Aust-Agder;;;;;RV;Rød valgallianse;0;;;;81;;;;;
09;Aust-Agder;;;;;FF;Frie Folkevalgte;0;;;;53;;;;;
