Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;45;;;;66461;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;4;;;;5414;;;;;
01;Østfold;;;;;H;Høyre;28;;;;41782;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;9;;;;13300;;;;;
01;Østfold;;;;;SP;Senterpartiet;7;;;;9869;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;3;;;;4798;;;;;
01;Østfold;;;;;V;Venstre;2;;;;3564;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;428;;;;;
01;Østfold;;;;;RV;Rød valgallianse;0;;;;652;;;;;
01;Østfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;375;;;;;
01;Østfold;;;;;ANDRE;Andre;0;;;;177;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;33;;;;76112;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;6;;;;13697;;;;;
02;Akershus;;;;;H;Høyre;40;;;;92069;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;5;;;;11047;;;;;
02;Akershus;;;;;SP;Senterpartiet;5;;;;11348;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;6;;;;12727;;;;;
02;Akershus;;;;;V;Venstre;3;;;;7881;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;0;;;;508;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;1575;;;;;
02;Akershus;;;;;DLF;Det Liberale Folkepartiet;1;;;;2892;;;;;
02;Akershus;;;;;ANDRE;Andre;0;;;;149;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;33;;;;101135;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;7;;;;21383;;;;;
03;Oslo;;;;;H;Høyre;42;;;;129967;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;14669;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;1999;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;7;;;;20662;;;;;
03;Oslo;;;;;V;Venstre;3;;;;8473;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;1133;;;;;
03;Oslo;;;;;RV;Rød valgallianse;2;;;;5322;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;1044;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;1038;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;56;;;;66930;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;2;;;;2718;;;;;
04;Hedmark;;;;;H;Høyre;18;;;;20991;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;8;;;;9302;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;1;;;;618;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;408;;;;;
04;Hedmark;;;;;DLF;Det Liberale Folkepartiet;0;;;;336;;;;;
04;Hedmark;;;;;FLB;Borgerlige felleslister;15;;;;17986;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;202;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;52;;;;59003;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;3;;;;2901;;;;;
05;Oppland;;;;;H;Høyre;18;;;;20963;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;7;;;;7464;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;4;;;;4214;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;0;;;;270;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;369;;;;;
05;Oppland;;;;;DLF;Det Liberale Folkepartiet;0;;;;229;;;;;
05;Oppland;;;;;FLB;Borgerlige felleslister;16;;;;18043;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;83;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;44;;;;58983;;;;;
06;Buskerud;;;;;FRP;Fremskrittspartiet;5;;;;6409;;;;;
06;Buskerud;;;;;H;Høyre;32;;;;43667;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;5;;;;7376;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;4;;;;5315;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;0;;;;490;;;;;
06;Buskerud;;;;;RV;Rød valgallianse;0;;;;502;;;;;
06;Buskerud;;;;;DLF;Det Liberale Folkepartiet;0;;;;373;;;;;
06;Buskerud;;;;;FLB;Borgerlige felleslister;9;;;;11825;;;;;
06;Buskerud;;;;;ANDRE;Andre;0;;;;91;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;34;;;;39517;;;;;
07;Vestfold;;;;;FRP;Fremskrittspartiet;5;;;;5446;;;;;
07;Vestfold;;;;;H;Høyre;42;;;;48812;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;8;;;;9544;;;;;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;3;;;;3388;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;131;;;;;
07;Vestfold;;;;;RV;Rød valgallianse;1;;;;588;;;;;
07;Vestfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;497;;;;;
07;Vestfold;;;;;FLB;Borgerlige felleslister;7;;;;8616;;;;;
07;Vestfold;;;;;ANDRE;Andre;0;;;;80;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;46;;;;45965;;;;;
08;Telemark;;;;;FRP;Fremskrittspartiet;2;;;;2440;;;;;
08;Telemark;;;;;H;Høyre;23;;;;22902;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;11;;;;10736;;;;;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;6;;;;6028;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;0;;;;280;;;;;
08;Telemark;;;;;RV;Rød valgallianse;0;;;;491;;;;;
08;Telemark;;;;;DLF;Det Liberale Folkepartiet;0;;;;475;;;;;
08;Telemark;;;;;FLB;Borgerlige felleslister;10;;;;10187;;;;;
08;Telemark;;;;;ANDRE;Andre;0;;;;55;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;34;;;;18519;;;;;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;5;;;;2571;;;;;
09;Aust-Agder;;;;;H;Høyre;32;;;;17195;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;17;;;;8938;;;;;
09;Aust-Agder;;;;;SP;Senterpartiet;5;;;;2879;;;;;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;2;;;;1236;;;;;
09;Aust-Agder;;;;;V;Venstre;4;;;;2111;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;0;;;;50;;;;;
09;Aust-Agder;;;;;RV;Rød valgallianse;0;;;;114;;;;;
09;Aust-Agder;;;;;DLF;Det Liberale Folkepartiet;0;;;;257;;;;;
09;Aust-Agder;;;;;ANDRE;Andre;0;;;;27;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;27;;;;21551;;;;;
10;Vest-Agder;;;;;FRP;Fremskrittspartiet;4;;;;3121;;;;;
10;Vest-Agder;;;;;H;Høyre;34;;;;27699;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;19;;;;15388;;;;;
10;Vest-Agder;;;;;SP;Senterpartiet;8;;;;6664;;;;;
10;Vest-Agder;;;;;SV;Sosialistisk Venstreparti;2;;;;1908;;;;;
10;Vest-Agder;;;;;V;Venstre;4;;;;3016;;;;;
10;Vest-Agder;;;;;NKP;Norges Kommunistiske Parti;0;;;;98;;;;;
10;Vest-Agder;;;;;RV;Rød valgallianse;0;;;;220;;;;;
10;Vest-Agder;;;;;DLF;Det Liberale Folkepartiet;1;;;;518;;;;;
10;Vest-Agder;;;;;ANDRE;Andre;0;;;;398;;;;;
11;Rogaland;;;;;A;Arbeiderpartiet;27;;;;48121;;;;;
11;Rogaland;;;;;FRP;Fremskrittspartiet;8;;;;14227;;;;;
11;Rogaland;;;;;H;Høyre;34;;;;59997;;;;;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;16;;;;27902;;;;;
11;Rogaland;;;;;SP;Senterpartiet;7;;;;12639;;;;;
11;Rogaland;;;;;SV;Sosialistisk Venstreparti;3;;;;6061;;;;;
11;Rogaland;;;;;V;Venstre;4;;;;6614;;;;;
11;Rogaland;;;;;NKP;Norges Kommunistiske Parti;0;;;;239;;;;;
11;Rogaland;;;;;RV;Rød valgallianse;0;;;;576;;;;;
11;Rogaland;;;;;DLF;Det Liberale Folkepartiet;1;;;;1326;;;;;
11;Rogaland;;;;;ANDRE;Andre;0;;;;94;;;;;
12;Hordaland;;;;;A;Arbeiderpartiet;28;;;;64624;;;;;
12;Hordaland;;;;;FRP;Fremskrittspartiet;6;;;;14499;;;;;
12;Hordaland;;;;;H;Høyre;36;;;;83317;;;;;
12;Hordaland;;;;;KRF;Kristelig Folkeparti;13;;;;31241;;;;;
12;Hordaland;;;;;SP;Senterpartiet;5;;;;11516;;;;;
12;Hordaland;;;;;SV;Sosialistisk Venstreparti;5;;;;11513;;;;;
12;Hordaland;;;;;V;Venstre;5;;;;10960;;;;;
12;Hordaland;;;;;NKP;Norges Kommunistiske Parti;0;;;;560;;;;;
12;Hordaland;;;;;RV;Rød valgallianse;1;;;;1878;;;;;
12;Hordaland;;;;;DLF;Det Liberale Folkepartiet;1;;;;2809;;;;;
12;Hordaland;;;;;ANDRE;Andre;0;;;;131;;;;;
14;Sogn og Fjordane;;;;;A;Arbeiderpartiet;31;;;;18914;;;;;
14;Sogn og Fjordane;;;;;FRP;Fremskrittspartiet;2;;;;1090;;;;;
14;Sogn og Fjordane;;;;;H;Høyre;27;;;;16279;;;;;
14;Sogn og Fjordane;;;;;KRF;Kristelig Folkeparti;15;;;;9392;;;;;
14;Sogn og Fjordane;;;;;SP;Senterpartiet;14;;;;8568;;;;;
14;Sogn og Fjordane;;;;;SV;Sosialistisk Venstreparti;4;;;;2200;;;;;
14;Sogn og Fjordane;;;;;V;Venstre;6;;;;3755;;;;;
14;Sogn og Fjordane;;;;;RV;Rød valgallianse;1;;;;456;;;;;
14;Sogn og Fjordane;;;;;DLF;Det Liberale Folkepartiet;1;;;;321;;;;;
14;Sogn og Fjordane;;;;;ANDRE;Andre;0;;;;43;;;;;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;30;;;;41111;;;;;
15;Møre og Romsdal;;;;;FRP;Fremskrittspartiet;3;;;;4649;;;;;
15;Møre og Romsdal;;;;;H;Høyre;27;;;;37585;;;;;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;19;;;;26233;;;;;
15;Møre og Romsdal;;;;;SP;Senterpartiet;10;;;;13581;;;;;
15;Møre og Romsdal;;;;;SV;Sosialistisk Venstreparti;3;;;;4636;;;;;
15;Møre og Romsdal;;;;;V;Venstre;7;;;;9922;;;;;
15;Møre og Romsdal;;;;;NKP;Norges Kommunistiske Parti;0;;;;132;;;;;
15;Møre og Romsdal;;;;;RV;Rød valgallianse;0;;;;629;;;;;
15;Møre og Romsdal;;;;;DLF;Det Liberale Folkepartiet;0;;;;410;;;;;
15;Møre og Romsdal;;;;;ANDRE;Andre;0;;;;97;;;;;
16;Sør-Trøndelag;;;;;A;Arbeiderpartiet;39;;;;57483;;;;;
16;Sør-Trøndelag;;;;;FRP;Fremskrittspartiet;3;;;;4484;;;;;
16;Sør-Trøndelag;;;;;H;Høyre;29;;;;43453;;;;;
16;Sør-Trøndelag;;;;;KRF;Kristelig Folkeparti;7;;;;10913;;;;;
16;Sør-Trøndelag;;;;;SP;Senterpartiet;8;;;;12056;;;;;
16;Sør-Trøndelag;;;;;SV;Sosialistisk Venstreparti;6;;;;9411;;;;;
16;Sør-Trøndelag;;;;;V;Venstre;5;;;;7482;;;;;
16;Sør-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;0;;;;546;;;;;
16;Sør-Trøndelag;;;;;RV;Rød valgallianse;1;;;;1558;;;;;
16;Sør-Trøndelag;;;;;DLF;Det Liberale Folkepartiet;1;;;;910;;;;;
16;Sør-Trøndelag;;;;;ANDRE;Andre;0;;;;124;;;;;
17;Nord-Trøndelag;;;;;A;Arbeiderpartiet;43;;;;31331;;;;;
17;Nord-Trøndelag;;;;;FRP;Fremskrittspartiet;2;;;;1444;;;;;
17;Nord-Trøndelag;;;;;H;Høyre;18;;;;13014;;;;;
17;Nord-Trøndelag;;;;;SV;Sosialistisk Venstreparti;4;;;;3266;;;;;
17;Nord-Trøndelag;;;;;V;Venstre;8;;;;6226;;;;;
17;Nord-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;0;;;;306;;;;;
17;Nord-Trøndelag;;;;;RV;Rød valgallianse;1;;;;466;;;;;
17;Nord-Trøndelag;;;;;DLF;Det Liberale Folkepartiet;1;;;;536;;;;;
17;Nord-Trøndelag;;;;;FLB;Borgerlige felleslister;23;;;;16661;;;;;
17;Nord-Trøndelag;;;;;ANDRE;Andre;0;;;;64;;;;;
18;Nordland;;;;;A;Arbeiderpartiet;41;;;;56478;;;;;
18;Nordland;;;;;FRP;Fremskrittspartiet;3;;;;3628;;;;;
18;Nordland;;;;;H;Høyre;27;;;;37676;;;;;
18;Nordland;;;;;KRF;Kristelig Folkeparti;8;;;;11224;;;;;
18;Nordland;;;;;SP;Senterpartiet;7;;;;9762;;;;;
18;Nordland;;;;;SV;Sosialistisk Venstreparti;8;;;;10997;;;;;
18;Nordland;;;;;V;Venstre;4;;;;5992;;;;;
18;Nordland;;;;;NKP;Norges Kommunistiske Parti;0;;;;473;;;;;
18;Nordland;;;;;RV;Rød valgallianse;1;;;;1073;;;;;
18;Nordland;;;;;DLF;Det Liberale Folkepartiet;0;;;;289;;;;;
18;Nordland;;;;;ANDRE;Andre;0;;;;158;;;;;
19;Troms;;;;;A;Arbeiderpartiet;40;;;;32831;;;;;
19;Troms;;;;;FRP;Fremskrittspartiet;3;;;;2471;;;;;
19;Troms;;;;;H;Høyre;30;;;;24783;;;;;
19;Troms;;;;;KRF;Kristelig Folkeparti;9;;;;6946;;;;;
19;Troms;;;;;SP;Senterpartiet;6;;;;5040;;;;;
19;Troms;;;;;SV;Sosialistisk Venstreparti;6;;;;4490;;;;;
19;Troms;;;;;V;Venstre;4;;;;2966;;;;;
19;Troms;;;;;NKP;Norges Kommunistiske Parti;0;;;;252;;;;;
19;Troms;;;;;RV;Rød valgallianse;2;;;;1368;;;;;
19;Troms;;;;;DLF;Det Liberale Folkepartiet;0;;;;207;;;;;
19;Troms;;;;;ANDRE;Andre;0;;;;63;;;;;
20;Finnmark;;;;;A;Arbeiderpartiet;49;;;;20018;;;;;
20;Finnmark;;;;;FRP;Fremskrittspartiet;1;;;;543;;;;;
20;Finnmark;;;;;H;Høyre;25;;;;10422;;;;;
20;Finnmark;;;;;SV;Sosialistisk Venstreparti;8;;;;3201;;;;;
20;Finnmark;;;;;V;Venstre;3;;;;1260;;;;;
20;Finnmark;;;;;NKP;Norges Kommunistiske Parti;2;;;;640;;;;;
20;Finnmark;;;;;RV;Rød valgallianse;1;;;;357;;;;;
20;Finnmark;;;;;FLB;Borgerlige felleslister;9;;;;3845;;;;;
20;Finnmark;;;;;ANDRE;Andre;2;;;;675;;;;;
