Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;55;;;;60249;;;;;
01;Østfold;;;;;H;Høyre;18;;;;19768;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;12;;;;12935;;;;;
01;Østfold;;;;;V;Venstre;3;;;;3407;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;3;;;;2982;;;;;
01;Østfold;;;;;B;Bondepartiet;8;;;;9065;;;;;
01;Østfold;;;;;NSP;Norsk Sosialdemokratisk parti;1;;;;930;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;50;;;;57813;;;;;
02;Akershus;;;;;H;Høyre;22;;;;25466;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;7717;;;;;
02;Akershus;;;;;V;Venstre;7;;;;8579;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;4;;;;4083;;;;;
02;Akershus;;;;;B;Bondepartiet;10;;;;11301;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;46;;;;129456;;;;;
03;Oslo;;;;;H;Høyre;38;;;;106385;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;15054;;;;;
03;Oslo;;;;;V;Venstre;6;;;;16039;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;4;;;;11407;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;249;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;60;;;;56004;;;;;
04;Hedmark;;;;;H;Høyre;10;;;;9213;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;4;;;;3604;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;2212;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;8;;;;7674;;;;;
04;Hedmark;;;;;B;Bondepartiet;16;;;;15023;;;;;
04;Hedmark;;;;;NSP;Norsk Sosialdemokratisk parti;0;;;;373;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;56;;;;47812;;;;;
05;Oppland;;;;;H;Høyre;10;;;;8513;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;8;;;;6410;;;;;
05;Oppland;;;;;V;Venstre;4;;;;3605;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;3;;;;2557;;;;;
05;Oppland;;;;;B;Bondepartiet;19;;;;16428;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;1;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;56;;;;51613;;;;;
06;Buskerud;;;;;H;Høyre;20;;;;17886;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;6;;;;5797;;;;;
06;Buskerud;;;;;V;Venstre;2;;;;2229;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;5;;;;4392;;;;;
06;Buskerud;;;;;B;Bondepartiet;10;;;;9608;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;48;;;;43838;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;7;;;;6172;;;;;
07;Vestfold;;;;;V;Venstre;9;;;;8226;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;2;;;;1622;;;;;
07;Vestfold;;;;;FLB;Fellesliste Bondepartiet;7;;;;6263;;;;;
07;Vestfold;;;;;FLH;Fellesliste Høyre;28;;;;25627;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;56;;;;43552;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;11;;;;8331;;;;;
08;Telemark;;;;;V;Venstre;12;;;;9388;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;3;;;;2652;;;;;
08;Telemark;;;;;NSP;Norsk Sosialdemokratisk parti;1;;;;641;;;;;
08;Telemark;;;;;FLB;Fellesliste Bondepartiet;8;;;;6049;;;;;
08;Telemark;;;;;FLH;Fellesliste Høyre;10;;;;7537;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;44;;;;16813;;;;;
09;Aust-Agder;;;;;H;Høyre;16;;;;6188;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;15;;;;5802;;;;;
09;Aust-Agder;;;;;V;Venstre;15;;;;5555;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;1;;;;363;;;;;
09;Aust-Agder;;;;;B;Bondepartiet;9;;;;3565;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;34;;;;18092;;;;;
10;Vest-Agder;;;;;H;Høyre;13;;;;6680;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;12;;;;6569;;;;;
10;Vest-Agder;;;;;V;Venstre;26;;;;13908;;;;;
10;Vest-Agder;;;;;NKP;Norges Kommunistiske Parti;1;;;;665;;;;;
10;Vest-Agder;;;;;B;Bondepartiet;13;;;;6948;;;;;
11;Rogaland;;;;;A;Arbeiderpartiet;37;;;;41220;;;;;
11;Rogaland;;;;;H;Høyre;16;;;;17971;;;;;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;16;;;;18060;;;;;
11;Rogaland;;;;;V;Venstre;18;;;;20700;;;;;
11;Rogaland;;;;;NKP;Norges Kommunistiske Parti;2;;;;1916;;;;;
11;Rogaland;;;;;B;Bondepartiet;11;;;;12382;;;;;
12;Hordaland;;;;;A;Arbeiderpartiet;38;;;;37608;;;;;
12;Hordaland;;;;;H;Høyre;12;;;;11483;;;;;
12;Hordaland;;;;;KRF;Kristelig Folkeparti;20;;;;20098;;;;;
12;Hordaland;;;;;V;Venstre;17;;;;16838;;;;;
12;Hordaland;;;;;NKP;Norges Kommunistiske Parti;2;;;;1826;;;;;
12;Hordaland;;;;;B;Bondepartiet;11;;;;10563;;;;;
13;Bergen;;;;;A;Arbeiderpartiet;47;;;;29378;;;;;
13;Bergen;;;;;H;Høyre;24;;;;15131;;;;;
13;Bergen;;;;;KRF;Kristelig Folkeparti;9;;;;5889;;;;;
13;Bergen;;;;;V;Venstre;15;;;;9530;;;;;
13;Bergen;;;;;NKP;Norges Kommunistiske Parti;4;;;;2584;;;;;
14;Sogn og Fjordane;;;;;A;Arbeiderpartiet;35;;;;16424;;;;;
14;Sogn og Fjordane;;;;;H;Høyre;12;;;;5500;;;;;
14;Sogn og Fjordane;;;;;KRF;Kristelig Folkeparti;14;;;;6707;;;;;
14;Sogn og Fjordane;;;;;V;Venstre;17;;;;7912;;;;;
14;Sogn og Fjordane;;;;;B;Bondepartiet;22;;;;10096;;;;;
14;Sogn og Fjordane;;;;;ANDRE;Andre;0;;;;14;;;;;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;38;;;;37166;;;;;
15;Møre og Romsdal;;;;;H;Høyre;9;;;;8377;;;;;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;22;;;;21601;;;;;
15;Møre og Romsdal;;;;;V;Venstre;18;;;;17167;;;;;
15;Møre og Romsdal;;;;;NKP;Norges Kommunistiske Parti;1;;;;860;;;;;
15;Møre og Romsdal;;;;;B;Bondepartiet;13;;;;12438;;;;;
16;Sør-Trøndelag;;;;;A;Arbeiderpartiet;50;;;;53460;;;;;
16;Sør-Trøndelag;;;;;H;Høyre;17;;;;18636;;;;;
16;Sør-Trøndelag;;;;;KRF;Kristelig Folkeparti;11;;;;11486;;;;;
16;Sør-Trøndelag;;;;;V;Venstre;7;;;;7597;;;;;
16;Sør-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;4;;;;4228;;;;;
16;Sør-Trøndelag;;;;;B;Bondepartiet;11;;;;11259;;;;;
16;Sør-Trøndelag;;;;;ANDRE;Andre;0;;;;106;;;;;
17;Nord-Trøndelag;;;;;A;Arbeiderpartiet;49;;;;27104;;;;;
17;Nord-Trøndelag;;;;;H;Høyre;5;;;;2684;;;;;
17;Nord-Trøndelag;;;;;KRF;Kristelig Folkeparti;9;;;;4713;;;;;
17;Nord-Trøndelag;;;;;V;Venstre;11;;;;6317;;;;;
17;Nord-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;2;;;;1272;;;;;
17;Nord-Trøndelag;;;;;B;Bondepartiet;23;;;;12914;;;;;
18;Nordland;;;;;A;Arbeiderpartiet;54;;;;52486;;;;;
18;Nordland;;;;;H;Høyre;15;;;;14612;;;;;
18;Nordland;;;;;KRF;Kristelig Folkeparti;11;;;;10445;;;;;
18;Nordland;;;;;V;Venstre;6;;;;6227;;;;;
18;Nordland;;;;;NKP;Norges Kommunistiske Parti;4;;;;3609;;;;;
18;Nordland;;;;;B;Bondepartiet;10;;;;9587;;;;;
