Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;53;;;;56008;;;;;
01;Østfold;;;;;H;Høyre;8;;;;8535;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;12;;;;12997;;;;;
01;Østfold;;;;;V;Venstre;1;;;;1203;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;5;;;;5063;;;;;
01;Østfold;;;;;SAMF;Samfunnspartiet;0;;;;458;;;;;
01;Østfold;;;;;FLV;Fellesliste Venstre;2;;;;2506;;;;;
01;Østfold;;;;;FLBP;Fellesliste Bondepartiet;9;;;;9273;;;;;
01;Østfold;;;;;FLH;Fellesliste Høyre;9;;;;9115;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;49;;;;48639;;;;;
02;Akershus;;;;;H;Høyre;20;;;;20533;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;7261;;;;;
02;Akershus;;;;;V;Venstre;5;;;;4960;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;7;;;;7167;;;;;
02;Akershus;;;;;SAMF;Samfunnspartiet;0;;;;307;;;;;
02;Akershus;;;;;B;Bondepartiet;11;;;;11335;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;44;;;;119741;;;;;
03;Oslo;;;;;H;Høyre;36;;;;99179;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;14792;;;;;
03;Oslo;;;;;V;Venstre;7;;;;19017;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;8;;;;21535;;;;;
03;Oslo;;;;;SAMF;Samfunnspartiet;0;;;;827;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;2;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;59;;;;55537;;;;;
04;Hedmark;;;;;H;Høyre;2;;;;1963;;;;;
04;Hedmark;;;;;V;Venstre;1;;;;1274;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;11;;;;10707;;;;;
04;Hedmark;;;;;SAMF;Samfunnspartiet;1;;;;474;;;;;
04;Hedmark;;;;;FLV;Fellesliste Venstre;5;;;;4384;;;;;
04;Hedmark;;;;;FLBP;Fellesliste Bondepartiet;13;;;;12535;;;;;
04;Hedmark;;;;;FLH;Fellesliste Høyre;8;;;;7498;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;2;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;52;;;;43735;;;;;
05;Oppland;;;;;H;Høyre;2;;;;1915;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;6;;;;5410;;;;;
05;Oppland;;;;;V;Venstre;10;;;;8555;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;5;;;;4580;;;;;
05;Oppland;;;;;SAMF;Samfunnspartiet;0;;;;179;;;;;
05;Oppland;;;;;B;Bondepartiet;23;;;;19764;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;9;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;53;;;;48232;;;;;
06;Buskerud;;;;;H;Høyre;20;;;;18582;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;6;;;;5378;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;8;;;;7662;;;;;
06;Buskerud;;;;;SAMF;Samfunnspartiet;0;;;;165;;;;;
06;Buskerud;;;;;FLV;Fellesliste Venstre;3;;;;3143;;;;;
06;Buskerud;;;;;FLBP;Fellesliste Bondepartiet;9;;;;8282;;;;;
06;Buskerud;;;;;ANDRE;Andre;0;;;;9;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;45;;;;39209;;;;;
07;Vestfold;;;;;H;Høyre;31;;;;26392;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;5;;;;4050;;;;;
07;Vestfold;;;;;V;Venstre;3;;;;2896;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;3;;;;2798;;;;;
07;Vestfold;;;;;SAMF;Samfunnspartiet;0;;;;189;;;;;
07;Vestfold;;;;;FLV;Fellesliste Venstre;7;;;;5806;;;;;
07;Vestfold;;;;;FLBP;Fellesliste Bondepartiet;6;;;;5177;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;48;;;;37055;;;;;
08;Telemark;;;;;H;Høyre;5;;;;3852;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;10;;;;7514;;;;;
08;Telemark;;;;;V;Venstre;20;;;;15157;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;8;;;;5939;;;;;
08;Telemark;;;;;SAMF;Samfunnspartiet;0;;;;235;;;;;
08;Telemark;;;;;FLBP;Fellesliste Bondepartiet;5;;;;3824;;;;;
08;Telemark;;;;;FLH;Fellesliste Høyre;5;;;;3467;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;42;;;;17262;;;;;
09;Aust-Agder;;;;;H;Høyre;16;;;;6478;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;9;;;;3751;;;;;
09;Aust-Agder;;;;;V;Venstre;21;;;;8768;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;1;;;;576;;;;;
09;Aust-Agder;;;;;SAMF;Samfunnspartiet;0;;;;5;;;;;
09;Aust-Agder;;;;;B;Bondepartiet;10;;;;4008;;;;;
09;Aust-Agder;;;;;ANDRE;Andre;0;;;;1;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;33;;;;16964;;;;;
10;Vest-Agder;;;;;H;Høyre;7;;;;3718;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;8;;;;4245;;;;;
10;Vest-Agder;;;;;V;Venstre;31;;;;16138;;;;;
10;Vest-Agder;;;;;NKP;Norges Kommunistiske Parti;2;;;;1065;;;;;
10;Vest-Agder;;;;;SAMF;Samfunnspartiet;0;;;;178;;;;;
10;Vest-Agder;;;;;FLBP;Fellesliste Bondepartiet;11;;;;5705;;;;;
10;Vest-Agder;;;;;FLH;Fellesliste Høyre;7;;;;3767;;;;;
11;Rogaland;;;;;A;Arbeiderpartiet;35;;;;38525;;;;;
11;Rogaland;;;;;H;Høyre;8;;;;8770;;;;;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;9;;;;10406;;;;;
11;Rogaland;;;;;V;Venstre;26;;;;28476;;;;;
11;Rogaland;;;;;NKP;Norges Kommunistiske Parti;3;;;;2885;;;;;
11;Rogaland;;;;;SAMF;Samfunnspartiet;1;;;;1606;;;;;
11;Rogaland;;;;;FLBP;Fellesliste Bondepartiet;10;;;;10986;;;;;
11;Rogaland;;;;;FLH;Fellesliste Høyre;7;;;;8111;;;;;
12;Hordaland;;;;;A;Arbeiderpartiet;34;;;;33323;;;;;
12;Hordaland;;;;;H;Høyre;10;;;;10176;;;;;
12;Hordaland;;;;;KRF;Kristelig Folkeparti;22;;;;21502;;;;;
12;Hordaland;;;;;V;Venstre;20;;;;19419;;;;;
12;Hordaland;;;;;NKP;Norges Kommunistiske Parti;3;;;;3193;;;;;
12;Hordaland;;;;;SAMF;Samfunnspartiet;1;;;;893;;;;;
12;Hordaland;;;;;B;Bondepartiet;9;;;;8438;;;;;
13;Bergen;;;;;A;Arbeiderpartiet;45;;;;30221;;;;;
13;Bergen;;;;;H;Høyre;19;;;;12437;;;;;
13;Bergen;;;;;V;Venstre;25;;;;16394;;;;;
13;Bergen;;;;;NKP;Norges Kommunistiske Parti;9;;;;5952;;;;;
13;Bergen;;;;;SAMF;Samfunnspartiet;2;;;;1572;;;;;
14;Sogn og Fjordane;;;;;A;Arbeiderpartiet;33;;;;16362;;;;;
14;Sogn og Fjordane;;;;;H;Høyre;13;;;;6340;;;;;
14;Sogn og Fjordane;;;;;V;Venstre;30;;;;15128;;;;;
14;Sogn og Fjordane;;;;;NKP;Norges Kommunistiske Parti;1;;;;472;;;;;
14;Sogn og Fjordane;;;;;SAMF;Samfunnspartiet;0;;;;173;;;;;
14;Sogn og Fjordane;;;;;B;Bondepartiet;24;;;;11865;;;;;
14;Sogn og Fjordane;;;;;ANDRE;Andre;0;;;;3;;;;;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;36;;;;34451;;;;;
15;Møre og Romsdal;;;;;H;Høyre;10;;;;9481;;;;;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;27;;;;26179;;;;;
15;Møre og Romsdal;;;;;V;Venstre;25;;;;23614;;;;;
15;Møre og Romsdal;;;;;NKP;Norges Kommunistiske Parti;1;;;;1222;;;;;
15;Møre og Romsdal;;;;;SAMF;Samfunnspartiet;1;;;;1184;;;;;
15;Møre og Romsdal;;;;;ANDRE;Andre;0;;;;3;;;;;
16;Sør-Trøndelag;;;;;A;Arbeiderpartiet;46;;;;49555;;;;;
16;Sør-Trøndelag;;;;;H;Høyre;16;;;;17296;;;;;
16;Sør-Trøndelag;;;;;KRF;Kristelig Folkeparti;8;;;;8712;;;;;
16;Sør-Trøndelag;;;;;V;Venstre;8;;;;8538;;;;;
16;Sør-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;7;;;;7435;;;;;
16;Sør-Trøndelag;;;;;SAMF;Samfunnspartiet;1;;;;615;;;;;
16;Sør-Trøndelag;;;;;B;Bondepartiet;10;;;;10608;;;;;
16;Sør-Trøndelag;;;;;FLV;Fellesliste Venstre;3;;;;2788;;;;;
16;Sør-Trøndelag;;;;;FLKRF;Fellesliste Kristelig folkeparti;1;;;;1291;;;;;
17;Nord-Trøndelag;;;;;A;Arbeiderpartiet;48;;;;26261;;;;;
17;Nord-Trøndelag;;;;;H;Høyre;1;;;;288;;;;;
17;Nord-Trøndelag;;;;;KRF;Kristelig Folkeparti;7;;;;3645;;;;;
17;Nord-Trøndelag;;;;;V;Venstre;16;;;;8559;;;;;
17;Nord-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;4;;;;2261;;;;;
