Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;39,3;201989;9896;48717;58613;3,6;4,4;4;0;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;4,4;201989;1398;5103;6501;-2,9;-0,6;0;0;
01;Østfold;;;;;RØDT;Rødt;0,7;201989;227;814;1041;0;-0,6;0;0;
01;Østfold;;;;;SP;Senterpartiet;4,9;201989;961;6289;7250;0;-1,5;0;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;5,8;201989;1623;6966;8589;-1,1;-1,2;1;1;
01;Østfold;;;;;V;Venstre;2,5;201989;817;2922;3739;-1,5;-1;0;0;
01;Østfold;;;;;H;Høyre;14,8;201989;3604;18437;22041;2,9;-1;1;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;26,1;201989;7217;31636;38853;-0,8;3,3;3;0;
01;Østfold;;;;;AML;AML;0,1;201989;33;145;178;0;0,1;0;0;
01;Østfold;;;;;DEMN;Demokratene i Norge;0,1;201989;43;67;110;0;-0,1;0;0;
01;Østfold;;;;;KSP;Kristent Samlingsparti;0,2;201989;44;206;250;0;-0,1;0;0;
01;Østfold;;;;;KYST;Kystpartiet;0,1;201989;25;104;129;-0,2;-0,1;0;0;
01;Østfold;;;;;MDG;Miljøpartiet de Grønne;0,3;201989;81;293;374;0,1;-0,4;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;0,9;201989;321;999;1320;0;-1,2;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;33,7;375622;22600;78641;101241;3,2;5,6;5;0;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;5,7;375622;4411;12629;17040;-2,2;-0,5;1;0;
02;Akershus;;;;;RØDT;Rødt;0,9;375622;692;1874;2566;0,1;-0,5;0;0;
02;Akershus;;;;;SP;Senterpartiet;3,1;375622;1811;7624;9435;-0,8;-0,9;0;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;3,1;375622;2418;6890;9308;-0,8;-0,8;1;1;
02;Akershus;;;;;V;Venstre;4,9;375622;3521;11167;14688;-2,7;-1,8;1;0;
02;Akershus;;;;;H;Høyre;23,1;375622;14540;54965;69505;2,5;-4,2;4;0;
02;Akershus;;;;;FRP;Fremskrittspartiet;24,4;375622;17717;55583;73300;0,9;4,5;4;0;
02;Akershus;;;;;DEMN;Demokratene i Norge;0,1;375622;48;116;164;0;-0,1;0;0;
02;Akershus;;;;;ES;ES;0;375622;26;77;103;0;0;0;0;
02;Akershus;;;;;KSP;Kristent Samlingsparti;0,1;375622;73;234;307;0;0,1;0;0;
02;Akershus;;;;;KYST;Kystpartiet;0,1;375622;30;123;153;-0,1;0;0;0;
02;Akershus;;;;;MDG;Miljøpartiet de Grønne;0,4;375622;323;858;1181;0,2;-0,4;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,5;375622;622;973;1595;-0,2;-0,9;0;0;
03;Oslo;;;;;A;Arbeiderpartiet;35;416168;31285;81818;113103;3,5;5,1;6;0;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;10,3;416168;9592;23613;33205;-3,1;-0,3;2;0;
03;Oslo;;;;;RØDT;Rødt;4;416168;2887;10030;12917;1;-1,2;0;0;
03;Oslo;;;;;SP;Senterpartiet;1;416168;955;2171;3126;-0,1;0,2;0;0;
03;Oslo;;;;;KRF;Kristelig Folkeparti;2,7;416168;2955;5831;8786;-0,9;-0,4;1;1;
03;Oslo;;;;;V;Venstre;6,4;416168;5872;14912;20784;-2,8;-2,3;1;0;
03;Oslo;;;;;H;Høyre;21,7;416168;18712;51287;69999;1,9;-3,5;4;0;
03;Oslo;;;;;FRP;Fremskrittspartiet;17,6;416168;18333;38620;56953;0,4;3,3;3;0;
03;Oslo;;;;;DEMN;Demokratene i Norge;0;416168;59;98;157;0;-0,1;0;0;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0,1;416168;68;102;170;0;0;0;0;
03;Oslo;;;;;KSP;Kristent Samlingsparti;0,1;416168;97;195;292;0,1;0;0;0;
03;Oslo;;;;;KYST;Kystpartiet;0;416168;48;97;145;-0,1;0;0;0;
03;Oslo;;;;;MDG;Miljøpartiet de Grønne;0,6;416168;511;1317;1828;0,3;-0,1;0;0;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;416168;42;73;115;0;0;0;0;
03;Oslo;;;;;NRA;NRA;0;416168;12;42;54;0;0;0;0;
03;Oslo;;;;;PP;Pensjonistpartiet;0,4;416168;518;628;1146;-0,1;-0,2;0;0;
