Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;40;;;;57713;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;16;;;;22841;;;;;
01;Østfold;;;;;H;Høyre;12;;;;17806;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;13;;;;19218;;;;;
01;Østfold;;;;;SP;Senterpartiet;7;;;;10013;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;5;;;;6649;;;;;
01;Østfold;;;;;V;Venstre;3;;;;4526;;;;;
01;Østfold;;;;;MDG;Miljøpartiet de Grønne;0;;;;263;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;149;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;1;;;;1881;;;;;
01;Østfold;;;;;RV;Rød valgallianse;2;;;;2227;;;;;
01;Østfold;;;;;FLP;Fedrelandspartiet;0;;;;218;;;;;
01;Østfold;;;;;NLP;Naturlovpartiet;0;;;;117;;;;;
01;Østfold;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;346;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;35;;;;94187;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;17;;;;47218;;;;;
02;Akershus;;;;;H;Høyre;22;;;;58993;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;9;;;;24930;;;;;
02;Akershus;;;;;SP;Senterpartiet;5;;;;12478;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;6;;;;15404;;;;;
02;Akershus;;;;;V;Venstre;4;;;;10853;;;;;
02;Akershus;;;;;MDG;Miljøpartiet de Grønne;0;;;;976;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;0;;;;119;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;1;;;;1830;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;2874;;;;;
02;Akershus;;;;;DLF;Det Liberale Folkepartiet;0;;;;74;;;;;
02;Akershus;;;;;FLP;Fedrelandspartiet;0;;;;298;;;;;
02;Akershus;;;;;NLP;Naturlovpartiet;0;;;;258;;;;;
02;Akershus;;;;;HV;Hvit Valgallianse;0;;;;159;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;33;;;;98340;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;18;;;;52828;;;;;
03;Oslo;;;;;H;Høyre;22;;;;63980;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;7;;;;20083;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;3774;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;9;;;;25954;;;;;
03;Oslo;;;;;V;Venstre;4;;;;12460;;;;;
03;Oslo;;;;;MDG;Miljøpartiet de Grønne;0;;;;1302;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;184;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;1;;;;2729;;;;;
03;Oslo;;;;;RV;Rød valgallianse;4;;;;11766;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;56;;;;;
03;Oslo;;;;;FLP;Fedrelandspartiet;0;;;;360;;;;;
03;Oslo;;;;;NLP;Naturlovpartiet;0;;;;230;;;;;
03;Oslo;;;;;SAMF;Samfunnspartiet;0;;;;125;;;;;
03;Oslo;;;;;HV;Hvit Valgallianse;0;;;;171;;;;;
03;Oslo;;;;;TKD;Tverrpolitisk kyst og distriktsparti;0;;;;45;;;;;
03;Oslo;;;;;RF;Rettferdighetspartiet;0;;;;281;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;47;;;;53035;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;11;;;;12467;;;;;
04;Hedmark;;;;;H;Høyre;8;;;;8932;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;9;;;;9742;;;;;
04;Hedmark;;;;;SP;Senterpartiet;13;;;;14760;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;8;;;;8782;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;2680;;;;;
04;Hedmark;;;;;MDG;Miljøpartiet de Grønne;0;;;;139;;;;;
