Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;42;;;;57962;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;7;;;;10067;;;;;
01;Østfold;;;;;H;Høyre;14;;;;18792;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;9;;;;11739;;;;;
01;Østfold;;;;;SP;Senterpartiet;14;;;;19435;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;7;;;;9212;;;;;
01;Østfold;;;;;V;Venstre;3;;;;3741;;;;;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;0;;;;266;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;2;;;;3104;;;;;
01;Østfold;;;;;RV;Rød valgallianse;1;;;;741;;;;;
01;Østfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;40;;;;;
01;Østfold;;;;;FLP;Fedrelandspartiet;0;;;;309;;;;;
01;Østfold;;;;;SI;Stopp Innvandringen;0;;;;380;;;;;
01;Østfold;;;;;SNF;Samlingspartiet Ny Fremtid;1;;;;822;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;38;;;;94837;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;8;;;;19439;;;;;
02;Akershus;;;;;H;Høyre;27;;;;66674;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;4;;;;10552;;;;;
02;Akershus;;;;;SP;Senterpartiet;11;;;;26610;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;7;;;;16505;;;;;
02;Akershus;;;;;V;Venstre;3;;;;8699;;;;;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;0;;;;670;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;1;;;;2547;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;2002;;;;;
02;Akershus;;;;;DLF;Det Liberale Folkepartiet;0;;;;141;;;;;
02;Akershus;;;;;FLP;Fedrelandspartiet;0;;;;1212;;;;;
02;Akershus;;;;;NLP;Naturlovpartiet;0;;;;307;;;;;
02;Akershus;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;922;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;37;;;;101598;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;8;;;;23129;;;;;
03;Oslo;;;;;H;Høyre;27;;;;76117;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;4;;;;9862;;;;;
03;Oslo;;;;;SP;Senterpartiet;4;;;;12175;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;7;;;;19873;;;;;
03;Oslo;;;;;V;Venstre;3;;;;9518;;;;;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;0;;;;656;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;2;;;;5008;;;;;
03;Oslo;;;;;RV;Rød valgallianse;5;;;;14266;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;143;;;;;
03;Oslo;;;;;FLP;Fedrelandspartiet;0;;;;1279;;;;;
03;Oslo;;;;;FEF;Felles framtid;0;;;;52;;;;;
03;Oslo;;;;;FP;Frihetspartiet;0;;;;151;;;;;
03;Oslo;;;;;NLP;Naturlovpartiet;0;;;;375;;;;;
03;Oslo;;;;;SAMF;Samfunnspartiet;0;;;;95;;;;;
03;Oslo;;;;;SNF;Samlingspartiet Ny Fremtid;1;;;;1468;;;;;
03;Oslo;;;;;ANDRE;Andre;1;;;;1828;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;49;;;;54542;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;4;;;;4044;;;;;
04;Hedmark;;;;;H;Høyre;8;;;;9414;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;3;;;;3233;;;;;
04;Hedmark;;;;;SP;Senterpartiet;21;;;;23854;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;10;;;;11689;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;2234;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;0;;;;115;;;;;
04;Hedmark;;;;;PP;Pensjonistpartiet;1;;;;1416;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;354;;;;;
04;Hedmark;;;;;DLF;Det Liberale Folkepartiet;0;;;;45;;;;;
04;Hedmark;;;;;FLP;Fedrelandspartiet;0;;;;304;;;;;
04;Hedmark;;;;;FEF;Felles framtid;0;;;;43;;;;;
04;Hedmark;;;;;FP;Frihetspartiet;0;;;;121;;;;;
04;Hedmark;;;;;NLP;Naturlovpartiet;0;;;;112;;;;;
04;Hedmark;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;198;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;47;;;;51163;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;4;;;;4221;;;;;
05;Oppland;;;;;H;Høyre;9;;;;10009;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;5;;;;5173;;;;;
05;Oppland;;;;;SP;Senterpartiet;24;;;;26009;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;8;;;;8252;;;;;
05;Oppland;;;;;V;Venstre;2;;;;2132;;;;;
05;Oppland;;;;;MDG;Miljøpartiet De Grønne;0;;;;85;;;;;
05;Oppland;;;;;PP;Pensjonistpartiet;1;;;;549;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;305;;;;;
05;Oppland;;;;;DLF;Det Liberale Folkepartiet;0;;;;28;;;;;
05;Oppland;;;;;FLP;Fedrelandspartiet;0;;;;355;;;;;
05;Oppland;;;;;FP;Frihetspartiet;0;;;;89;;;;;
05;Oppland;;;;;NLP;Naturlovpartiet;0;;;;80;;;;;
05;Oppland;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;206;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;43;;;;56789;;;;;
06;Buskerud;;;;;FRP;Fremskrittspartiet;8;;;;10375;;;;;
06;Buskerud;;;;;H;Høyre;18;;;;24307;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;5;;;;6968;;;;;
06;Buskerud;;;;;SP;Senterpartiet;15;;;;19660;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;7;;;;8762;;;;;
06;Buskerud;;;;;V;Venstre;2;;;;3252;;;;;
06;Buskerud;;;;;RV;Rød valgallianse;0;;;;553;;;;;
06;Buskerud;;;;;DLF;Det Liberale Folkepartiet;0;;;;56;;;;;
06;Buskerud;;;;;FLP;Fedrelandspartiet;0;;;;352;;;;;
06;Buskerud;;;;;SI;Stopp Innvandringen;1;;;;1059;;;;;
06;Buskerud;;;;;FEF;Felles framtid;0;;;;58;;;;;
06;Buskerud;;;;;FP;Frihetspartiet;0;;;;129;;;;;
06;Buskerud;;;;;NLP;Naturlovpartiet;0;;;;196;;;;;
06;Buskerud;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;355;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;35;;;;41623;;;;;
07;Vestfold;;;;;FRP;Fremskrittspartiet;10;;;;11850;;;;;
07;Vestfold;;;;;H;Høyre;23;;;;27167;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;7;;;;8074;;;;;
07;Vestfold;;;;;SP;Senterpartiet;13;;;;15588;;;;;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;7;;;;7660;;;;;
07;Vestfold;;;;;V;Venstre;3;;;;3236;;;;;
07;Vestfold;;;;;MDG;Miljøpartiet De Grønne;0;;;;286;;;;;
07;Vestfold;;;;;RV;Rød valgallianse;1;;;;649;;;;;
07;Vestfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;60;;;;;
07;Vestfold;;;;;FLP;Fedrelandspartiet;1;;;;1136;;;;;
07;Vestfold;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;372;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;39;;;;36374;;;;;
08;Telemark;;;;;FRP;Fremskrittspartiet;9;;;;8453;;;;;
08;Telemark;;;;;H;Høyre;11;;;;9918;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;10;;;;9499;;;;;
08;Telemark;;;;;SP;Senterpartiet;16;;;;15157;;;;;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;10;;;;9377;;;;;
08;Telemark;;;;;V;Venstre;3;;;;2564;;;;;
08;Telemark;;;;;PP;Pensjonistpartiet;1;;;;1340;;;;;
08;Telemark;;;;;RV;Rød valgallianse;1;;;;575;;;;;
08;Telemark;;;;;DLF;Det Liberale Folkepartiet;0;;;;30;;;;;
08;Telemark;;;;;FLP;Fedrelandspartiet;0;;;;298;;;;;
08;Telemark;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;341;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;33;;;;18244;;;;;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;6;;;;3326;;;;;
09;Aust-Agder;;;;;H;Høyre;15;;;;8245;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;14;;;;7621;;;;;
09;Aust-Agder;;;;;SP;Senterpartiet;18;;;;9764;;;;;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;7;;;;3886;;;;;
09;Aust-Agder;;;;;V;Venstre;4;;;;2162;;;;;
09;Aust-Agder;;;;;PP;Pensjonistpartiet;2;;;;1048;;;;;
09;Aust-Agder;;;;;RV;Rød valgallianse;0;;;;122;;;;;
09;Aust-Agder;;;;;FLP;Fedrelandspartiet;0;;;;243;;;;;
09;Aust-Agder;;;;;FP;Frihetspartiet;0;;;;166;;;;;
09;Aust-Agder;;;;;KKP;Kristent konservativt parti;0;;;;127;;;;;
09;Aust-Agder;;;;;SNF;Samlingspartiet Ny Fremtid;0;;;;194;;;;;
