Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;32,1;216293;12947;38598;51545;-2,9;-8,1;3;0;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;4,4;216293;1767;5269;7036;2;1,8;1;1;
01;Østfold;;;;;RØDT;Rødt;2,1;216293;1018;2417;3435;1,4;0,6;0;0;
01;Østfold;;;;;SP;Senterpartiet;8,7;216293;3046;10897;13943;4,6;2,4;1;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;4,2;216293;1575;5236;6811;-1,4;-1,5;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,6;216293;1403;2789;4192;0,6;-1,8;0;0;
01;Østfold;;;;;V;Venstre;2,4;216293;984;2894;3878;-1,2;-0,5;0;0;
01;Østfold;;;;;H;Høyre;23,8;216293;9366;28898;38264;-1,5;2,1;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;17,5;216293;7085;21096;28181;-2,1;5,7;2;0;
01;Østfold;;;;;ALLI;Alliansen;0,1;216293;63;148;211;0,1;0,1;0;0;
01;Østfold;;;;;DEMN;Demokratene i Norge;0,1;216293;60;130;190;0,1;-0,1;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,5;216293;216;590;806;0,5;0,5;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,3;216293;163;355;518;-0,4;-0,4;0;0;
01;Østfold;;;;;KYST;Kystpartiet;0,1;216293;19;79;98;0;-0,1;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,2;216293;78;275;353;0,2;0,2;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;0,8;216293;438;921;1359;0,2;-0,5;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,9;216293;299;1203;1502;0,4;-0,8;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;26,3;417141;31409;57280;88689;-2,1;-4,4;5;0;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;5,3;417141;6149;11710;17859;1,8;1,9;1;0;
02;Akershus;;;;;RØDT;Rødt;1,9;417141;2785;3757;6542;1,2;0,6;0;0;
02;Akershus;;;;;SP;Senterpartiet;6;417141;6399;13820;20219;3,5;2,1;1;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,3;417141;2750;5089;7839;-0,9;-1;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;3,7;417141;5363;7096;12459;0,6;-2,2;0;0;
02;Akershus;;;;;V;Venstre;6,5;417141;6921;14932;21853;0,2;0,6;1;0;
02;Akershus;;;;;H;Høyre;31;417141;39714;64737;104451;-2,9;-1,3;6;1;
02;Akershus;;;;;FRP;Fremskrittspartiet;15,1;417141;18553;32188;50741;-2;4;3;0;
02;Akershus;;;;;ALLI;Alliansen;0,1;417141;150;233;383;0,1;0,1;0;0;
02;Akershus;;;;;DEMN;Demokratene i Norge;0,1;417141;115;153;268;0;-0,1;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,6;417141;805;1247;2052;0,6;0,6;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,1;417141;173;247;420;-0,1;-0,1;0;0;
02;Akershus;;;;;KYST;Kystpartiet;0;417141;43;93;136;0;0;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,2;417141;214;384;598;0,2;0,2;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,2;417141;189;376;565;-0,2;-0,3;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,6;417141;1037;917;1954;0,1;-0,8;0;0;
02;Akershus;;;;;BLANKE;Blanke;0,6;417141;560;1312;1872;0,2;-0,5;0;0;
03;Oslo;;;;;A;Arbeiderpartiet;28,4;460108;50513;53576;104089;-2,1;-3,6;5;0;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;9,3;460108;15536;18516;34052;3;3,8;2;0;
03;Oslo;;;;;RØDT;Rødt;6,3;460108;11935;11148;23083;3,1;1,2;1;0;
03;Oslo;;;;;SP;Senterpartiet;2,1;460108;3947;3831;7778;1,3;1,5;0;0;
03;Oslo;;;;;KRF;Kristelig Folkeparti;2,1;460108;3721;4122;7843;-0,7;-0,3;0;0;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;6;460108;11138;10715;21853;0,4;-2,2;1;0;
03;Oslo;;;;;V;Venstre;8,4;460108;12086;18847;30933;0,2;1,6;2;0;
03;Oslo;;;;;H;Høyre;26,4;460108;47508;49577;97085;-3,3;-5,3;6;1;
03;Oslo;;;;;FRP;Fremskrittspartiet;9,5;460108;18328;16709;35037;-2,1;3,5;2;0;
03;Oslo;;;;;ALLI;Alliansen;0,1;460108;179;135;314;0,1;0,1;0;0;
03;Oslo;;;;;DEMN;Demokratene i Norge;0,1;460108;204;122;326;0;-0,1;0;0;
03;Oslo;;;;;HELSE;Helsepartiet;0,3;460108;658;526;1184;0,3;0,3;0;0;
03;Oslo;;;;;KRISTNE;Partiet De Kristne;0,1;460108;173;170;343;-0,1;0;0;0;
03;Oslo;;;;;LIBS;Liberalistene;0,2;460108;363;304;667;0,2;0,2;0;0;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;460108;58;61;119;0;0;0;0;
03;Oslo;;;;;PIR;Piratpartiet;0,2;460108;304;326;630;-0,2;-0,1;0;0;
03;Oslo;;;;;PP;Pensjonistpartiet;0,4;460108;866;469;1335;0;0;0;0;
03;Oslo;;;;;SAMFS;Samfunnspartiet;0;460108;56;48;104;0;0;0;0;
03;Oslo;;;;;BLANKE;Blanke;0,5;460108;734;993;1727;0,1;0,1;0;0;
03;Oslo;;;;;FI;Feministisk Initiativ;0,1;460108;213;113;326;0,1;-0,3;0;0;
04;Hedmark;;;;;A;Arbeiderpartiet;35,6;149920;13614;26947;40561;-7,6;-9,8;2;0;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;5,7;149920;2090;4438;6528;1,8;1,8;1;1;
04;Hedmark;;;;;RØDT;Rødt;1,3;149920;576;867;1443;0,6;0,3;0;0;
04;Hedmark;;;;;SP;Senterpartiet;22,2;149920;7408;17888;25296;12;6,8;2;0;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;1,8;149920;681;1370;2051;-0,7;-1;0;0;
04;Hedmark;;;;;MDG;Miljøpartiet De Grønne;1,9;149920;1009;1206;2215;0;-2,1;0;0;
04;Hedmark;;;;;V;Venstre;2,3;149920;939;1720;2659;-1;-1,5;0;0;
04;Hedmark;;;;;H;Høyre;15,3;149920;5910;11544;17454;-3;1,8;1;0;
04;Hedmark;;;;;FRP;Fremskrittspartiet;11,7;149920;4130;9246;13376;-1,9;5;1;0;
04;Hedmark;;;;;ALLI;Alliansen;0,1;149920;44;76;120;0,1;0,1;0;0;
04;Hedmark;;;;;DEMN;Demokratene i Norge;0,2;149920;76;116;192;0,1;0,2;0;0;
04;Hedmark;;;;;HELSE;Helsepartiet;0,3;149920;121;235;356;0,3;0,3;0;0;
04;Hedmark;;;;;KRISTNE;Partiet De Kristne;0,1;149920;73;92;165;-0,2;-0,1;0;0;
04;Hedmark;;;;;KYST;Kystpartiet;0;149920;15;30;45;0;0;0;0;
04;Hedmark;;;;;LIBS;Liberalistene;0,1;149920;56;109;165;0,1;0,1;0;0;
04;Hedmark;;;;;PP;Pensjonistpartiet;1,1;149920;629;674;1303;-0,4;-2;0;0;
04;Hedmark;;;;;BLANKE;Blanke;0,8;149920;255;602;857;0,2;-1,5;0;0;
04;Hedmark;;;;;NP;Norgespartiet;0,1;149920;54;97;151;0,1;0,1;0;0;
05;Oppland;;;;;A;Arbeiderpartiet;35,1;143221;12263;25793;38056;-5,9;-6,8;2;0;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;4,6;143221;1681;3347;5028;1,7;1,5;0;0;
05;Oppland;;;;;RØDT;Rødt;1,7;143221;752;1071;1823;0,9;0;0;0;
05;Oppland;;;;;SP;Senterpartiet;21,2;143221;6658;16332;22990;8,9;2;2;0;
05;Oppland;;;;;KRF;Kristelig Folkeparti;2,1;143221;736;1545;2281;-1,1;-0,7;0;0;
05;Oppland;;;;;MDG;Miljøpartiet De Grønne;2,4;143221;1098;1452;2550;-0,1;-1,8;0;0;
05;Oppland;;;;;V;Venstre;2,6;143221;823;1953;2776;-1,4;-1,4;1;1;
05;Oppland;;;;;H;Høyre;16,7;143221;5552;12611;18163;-2,4;2,5;1;0;
05;Oppland;;;;;FRP;Fremskrittspartiet;12,2;143221;3938;9347;13285;-0,5;5,5;1;0;
05;Oppland;;;;;ALLI;Alliansen;0,1;143221;59;79;138;0,1;0,1;0;0;
05;Oppland;;;;;DEMN;Demokratene i Norge;0,1;143221;54;78;132;0,1;0,1;0;0;
05;Oppland;;;;;HELSE;Helsepartiet;0,4;143221;164;291;455;0,4;0,4;0;0;
05;Oppland;;;;;KRISTNE;Partiet De Kristne;0,2;143221;75;109;184;-0,3;-0,1;0;0;
