Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;43;;;;55670;;;;;
01;Østfold;;;;;H;Høyre;17;;;;22265;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;13;;;;17159;;;;;
01;Østfold;;;;;SP;Senterpartiet;9;;;;11145;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;11;;;;13625;;;;;
01;Østfold;;;;;V;Venstre;1;;;;1750;;;;;
01;Østfold;;;;;RV;Rød valgallianse;0;;;;417;;;;;
01;Østfold;;;;;DNF;Det nye Folkepartiet;1;;;;1799;;;;;
01;Østfold;;;;;ALP;Anders Langes parti;4;;;;4832;;;;;
01;Østfold;;;;;EP;Ensliges parti;0;;;;211;;;;;
01;Østfold;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;123;;;;;
01;Østfold;;;;;NDP;Norges demokratiske parti;0;;;;121;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;33;;;;62740;;;;;
02;Akershus;;;;;H;Høyre;24;;;;45080;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;7;;;;13178;;;;;
02;Akershus;;;;;SP;Senterpartiet;8;;;;15369;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;12;;;;22359;;;;;
02;Akershus;;;;;V;Venstre;3;;;;5016;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;945;;;;;
02;Akershus;;;;;DNF;Det nye Folkepartiet;5;;;;9946;;;;;
02;Akershus;;;;;ALP;Anders Langes parti;7;;;;13040;;;;;
02;Akershus;;;;;EP;Ensliges parti;0;;;;420;;;;;
02;Akershus;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;170;;;;;
02;Akershus;;;;;NDP;Norges demokratiske parti;0;;;;103;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;34;;;;97707;;;;;
03;Oslo;;;;;H;Høyre;30;;;;87700;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;7;;;;21621;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;14;;;;39434;;;;;
03;Oslo;;;;;RV;Rød valgallianse;1;;;;2558;;;;;
03;Oslo;;;;;DNF;Det nye Folkepartiet;4;;;;10941;;;;;
03;Oslo;;;;;ALP;Anders Langes parti;6;;;;18578;;;;;
03;Oslo;;;;;EP;Ensliges parti;1;;;;1987;;;;;
03;Oslo;;;;;NDP;Norges demokratiske parti;0;;;;85;;;;;
03;Oslo;;;;;FLV;Fellesliste Venstre;2;;;;5793;;;;;
03;Oslo;;;;;FLSP;Fellesliste Senterpartiet;2;;;;4620;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;2;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;52;;;;55857;;;;;
04;Hedmark;;;;;H;Høyre;10;;;;10872;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;14;;;;14707;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;309;;;;;
04;Hedmark;;;;;DNF;Det nye Folkepartiet;1;;;;958;;;;;
04;Hedmark;;;;;ALP;Anders Langes parti;2;;;;2488;;;;;
04;Hedmark;;;;;EP;Ensliges parti;0;;;;184;;;;;
04;Hedmark;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;135;;;;;
04;Hedmark;;;;;NDP;Norges demokratiske parti;0;;;;148;;;;;
04;Hedmark;;;;;FLV;Fellesliste Venstre;1;;;;1117;;;;;
04;Hedmark;;;;;FLKRF;Fellesliste Kristelig Folkeparti;5;;;;5203;;;;;
04;Hedmark;;;;;FLSP;Fellesliste Senterpartiet;14;;;;15463;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;49;;;;49737;;;;;
05;Oppland;;;;;H;Høyre;9;;;;8650;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;8;;;;7604;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;8;;;;8262;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;248;;;;;
05;Oppland;;;;;DNF;Det nye Folkepartiet;1;;;;823;;;;;
05;Oppland;;;;;ALP;Anders Langes parti;3;;;;2575;;;;;
05;Oppland;;;;;EP;Ensliges parti;0;;;;117;;;;;
05;Oppland;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;128;;;;;
05;Oppland;;;;;NDP;Norges demokratiske parti;0;;;;66;;;;;
05;Oppland;;;;;FLV;Fellesliste Venstre;2;;;;2463;;;;;
05;Oppland;;;;;FLSP;Fellesliste Senterpartiet;20;;;;19856;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;43;;;;49744;;;;;
06;Buskerud;;;;;H;Høyre;20;;;;23188;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;7;;;;8594;;;;;
06;Buskerud;;;;;SP;Senterpartiet;10;;;;11998;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;12;;;;14560;;;;;
06;Buskerud;;;;;V;Venstre;1;;;;1652;;;;;
06;Buskerud;;;;;RV;Rød valgallianse;0;;;;373;;;;;
06;Buskerud;;;;;DNF;Det nye Folkepartiet;1;;;;1590;;;;;
06;Buskerud;;;;;ALP;Anders Langes parti;4;;;;4771;;;;;
06;Buskerud;;;;;EP;Ensliges parti;0;;;;242;;;;;
06;Buskerud;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;137;;;;;
06;Buskerud;;;;;NDP;Norges demokratiske parti;0;;;;112;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;34;;;;33750;;;;;
07;Vestfold;;;;;H;Høyre;27;;;;26441;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;10;;;;10287;;;;;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;9;;;;8919;;;;;
07;Vestfold;;;;;RV;Rød valgallianse;0;;;;296;;;;;
07;Vestfold;;;;;DNF;Det nye Folkepartiet;2;;;;2439;;;;;
07;Vestfold;;;;;ALP;Anders Langes parti;7;;;;6591;;;;;
07;Vestfold;;;;;EP;Ensliges parti;0;;;;266;;;;;
07;Vestfold;;;;;NDP;Norges demokratiske parti;0;;;;143;;;;;
07;Vestfold;;;;;FLV;Fellesliste Venstre;3;;;;2891;;;;;
07;Vestfold;;;;;FLSP;Fellesliste Senterpartiet;8;;;;7707;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;37;;;;32536;;;;;
08;Telemark;;;;;H;Høyre;11;;;;9965;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;14;;;;12577;;;;;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;17;;;;14715;;;;;
08;Telemark;;;;;RV;Rød valgallianse;0;;;;284;;;;;
08;Telemark;;;;;DNF;Det nye Folkepartiet;2;;;;2139;;;;;
08;Telemark;;;;;ALP;Anders Langes parti;3;;;;2909;;;;;
08;Telemark;;;;;EP;Ensliges parti;0;;;;122;;;;;
08;Telemark;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;84;;;;;
08;Telemark;;;;;NDP;Norges demokratiske parti;0;;;;69;;;;;
08;Telemark;;;;;FLV;Fellesliste Venstre;5;;;;4385;;;;;
08;Telemark;;;;;FLSP;Fellesliste Senterpartiet;9;;;;7528;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;33;;;;14594;;;;;
09;Aust-Agder;;;;;H;Høyre;16;;;;6876;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;19;;;;8254;;;;;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;5;;;;2391;;;;;
09;Aust-Agder;;;;;RV;Rød valgallianse;0;;;;70;;;;;
09;Aust-Agder;;;;;DNF;Det nye Folkepartiet;8;;;;3436;;;;;
09;Aust-Agder;;;;;ALP;Anders Langes parti;5;;;;2044;;;;;
09;Aust-Agder;;;;;EP;Ensliges parti;0;;;;62;;;;;
09;Aust-Agder;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;57;;;;;
09;Aust-Agder;;;;;NDP;Norges demokratiske parti;0;;;;59;;;;;
09;Aust-Agder;;;;;FLV;Fellesliste Venstre;4;;;;1574;;;;;
09;Aust-Agder;;;;;FLSP;Fellesliste Senterpartiet;11;;;;4722;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;24;;;;16289;;;;;
10;Vest-Agder;;;;;H;Høyre;15;;;;9956;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;22;;;;14628;;;;;
10;Vest-Agder;;;;;SP;Senterpartiet;11;;;;7595;;;;;
10;Vest-Agder;;;;;SV;Sosialistisk Venstreparti;7;;;;4699;;;;;
10;Vest-Agder;;;;;V;Venstre;5;;;;3119;;;;;
10;Vest-Agder;;;;;RV;Rød valgallianse;0;;;;111;;;;;
10;Vest-Agder;;;;;DNF;Det nye Folkepartiet;8;;;;5329;;;;;
10;Vest-Agder;;;;;ALP;Anders Langes parti;7;;;;4933;;;;;
10;Vest-Agder;;;;;EP;Ensliges parti;0;;;;117;;;;;
10;Vest-Agder;;;;;KFF;Kvinnenes frie folkevalgte;0;;;;90;;;;;
10;Vest-Agder;;;;;NDP;Norges demokratiske parti;0;;;;88;;;;;
11;Rogaland;;;;;A;Arbeiderpartiet;27;;;;38041;;;;;
11;Rogaland;;;;;H;Høyre;15;;;;20944;;;;;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;21;;;;29849;;;;;
11;Rogaland;;;;;SP;Senterpartiet;12;;;;16693;;;;;
11;Rogaland;;;;;SV;Sosialistisk Venstreparti;8;;;;11740;;;;;
11;Rogaland;;;;;V;Venstre;3;;;;4672;;;;;
11;Rogaland;;;;;RV;Rød valgallianse;0;;;;278;;;;;
11;Rogaland;;;;;DNF;Det nye Folkepartiet;6;;;;8718;;;;;
