Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;49;;;;74283;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;3;;;;4440;;;;;
01;Østfold;;;;;H;Høyre;27;;;;40399;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;9;;;;13351;;;;;
01;Østfold;;;;;SP;Senterpartiet;6;;;;9240;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;4;;;;5562;;;;;
01;Østfold;;;;;V;Venstre;2;;;;2665;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;217;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;1;;;;805;;;;;
01;Østfold;;;;;RV;Rød valgallianse;0;;;;497;;;;;
01;Østfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;388;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;35;;;;85864;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;5;;;;12984;;;;;
02;Akershus;;;;;H;Høyre;41;;;;102360;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;4;;;;9881;;;;;
02;Akershus;;;;;SP;Senterpartiet;5;;;;12162;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;6;;;;14221;;;;;
02;Akershus;;;;;V;Venstre;3;;;;6880;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;0;;;;297;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;0;;;;499;;;;;
02;Akershus;;;;;RV;Rød valgallianse;0;;;;1183;;;;;
02;Akershus;;;;;DLF;Det Liberale Folkepartiet;1;;;;1648;;;;;
02;Akershus;;;;;ANDRE;Andre;0;;;;49;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;34;;;;103811;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;5;;;;15579;;;;;
03;Oslo;;;;;H;Høyre;43;;;;131269;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;4;;;;12358;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;2550;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;7;;;;21533;;;;;
03;Oslo;;;;;V;Venstre;3;;;;8487;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;600;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;0;;;;1419;;;;;
03;Oslo;;;;;RV;Rød valgallianse;2;;;;5275;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;1;;;;2360;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;240;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;58;;;;71924;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;2;;;;2062;;;;;
04;Hedmark;;;;;H;Høyre;17;;;;20658;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;3;;;;3842;;;;;
04;Hedmark;;;;;SP;Senterpartiet;10;;;;11851;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;8;;;;10118;;;;;
04;Hedmark;;;;;V;Venstre;1;;;;1582;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;0;;;;321;;;;;
04;Hedmark;;;;;PP;Pensjonistpartiet;0;;;;224;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;257;;;;;
04;Hedmark;;;;;DLF;Det Liberale Folkepartiet;0;;;;266;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;30;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;57;;;;66952;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;2;;;;2064;;;;;
05;Oppland;;;;;H;Høyre;18;;;;21331;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;5;;;;6165;;;;;
05;Oppland;;;;;SP;Senterpartiet;12;;;;14429;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;3;;;;3938;;;;;
05;Oppland;;;;;V;Venstre;2;;;;2532;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;0;;;;156;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;284;;;;;
05;Oppland;;;;;DLF;Det Liberale Folkepartiet;0;;;;197;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;100;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;46;;;;65404;;;;;
06;Buskerud;;;;;FRP;Fremskrittspartiet;4;;;;5252;;;;;
06;Buskerud;;;;;H;Høyre;33;;;;46139;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;5;;;;6612;;;;;
06;Buskerud;;;;;SP;Senterpartiet;7;;;;9410;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;3;;;;4210;;;;;
06;Buskerud;;;;;V;Venstre;2;;;;2840;;;;;
06;Buskerud;;;;;NKP;Norges Kommunistiske Parti;0;;;;253;;;;;
06;Buskerud;;;;;PP;Pensjonistpartiet;0;;;;344;;;;;
06;Buskerud;;;;;RV;Rød valgallianse;0;;;;395;;;;;
06;Buskerud;;;;;DLF;Det Liberale Folkepartiet;0;;;;312;;;;;
06;Buskerud;;;;;ANDRE;Andre;0;;;;50;;;;;
07;Vestfold;;;;;A;Arbeiderpartiet;35;;;;42647;;;;;
07;Vestfold;;;;;FRP;Fremskrittspartiet;5;;;;5746;;;;;
07;Vestfold;;;;;H;Høyre;41;;;;49234;;;;;
07;Vestfold;;;;;KRF;Kristelig Folkeparti;7;;;;8456;;;;;
07;Vestfold;;;;;SP;Senterpartiet;4;;;;5360;;;;;
07;Vestfold;;;;;SV;Sosialistisk Venstreparti;4;;;;4762;;;;;
07;Vestfold;;;;;V;Venstre;3;;;;3211;;;;;
07;Vestfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;90;;;;;
07;Vestfold;;;;;RV;Rød valgallianse;0;;;;464;;;;;
07;Vestfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;462;;;;;
07;Vestfold;;;;;ANDRE;Andre;0;;;;30;;;;;
08;Telemark;;;;;A;Arbeiderpartiet;51;;;;52213;;;;;
08;Telemark;;;;;FRP;Fremskrittspartiet;2;;;;2131;;;;;
08;Telemark;;;;;H;Høyre;25;;;;25687;;;;;
08;Telemark;;;;;KRF;Kristelig Folkeparti;9;;;;9457;;;;;
08;Telemark;;;;;SP;Senterpartiet;4;;;;4340;;;;;
08;Telemark;;;;;SV;Sosialistisk Venstreparti;5;;;;5641;;;;;
08;Telemark;;;;;V;Venstre;3;;;;2617;;;;;
08;Telemark;;;;;NKP;Norges Kommunistiske Parti;0;;;;162;;;;;
08;Telemark;;;;;RV;Rød valgallianse;0;;;;405;;;;;
08;Telemark;;;;;DLF;Det Liberale Folkepartiet;1;;;;590;;;;;
08;Telemark;;;;;ANDRE;Andre;0;;;;23;;;;;
09;Aust-Agder;;;;;A;Arbeiderpartiet;40;;;;22719;;;;;
09;Aust-Agder;;;;;FRP;Fremskrittspartiet;4;;;;2080;;;;;
09;Aust-Agder;;;;;H;Høyre;29;;;;16734;;;;;
09;Aust-Agder;;;;;KRF;Kristelig Folkeparti;15;;;;8381;;;;;
09;Aust-Agder;;;;;SP;Senterpartiet;6;;;;3297;;;;;
09;Aust-Agder;;;;;SV;Sosialistisk Venstreparti;3;;;;1441;;;;;
09;Aust-Agder;;;;;V;Venstre;4;;;;2054;;;;;
09;Aust-Agder;;;;;NKP;Norges Kommunistiske Parti;0;;;;45;;;;;
09;Aust-Agder;;;;;RV;Rød valgallianse;0;;;;106;;;;;
09;Aust-Agder;;;;;DLF;Det Liberale Folkepartiet;1;;;;350;;;;;
10;Vest-Agder;;;;;A;Arbeiderpartiet;31;;;;26314;;;;;
10;Vest-Agder;;;;;FRP;Fremskrittspartiet;4;;;;3279;;;;;
10;Vest-Agder;;;;;H;Høyre;31;;;;26480;;;;;
10;Vest-Agder;;;;;KRF;Kristelig Folkeparti;18;;;;15183;;;;;
10;Vest-Agder;;;;;SP;Senterpartiet;8;;;;6837;;;;;
10;Vest-Agder;;;;;SV;Sosialistisk Venstreparti;3;;;;2165;;;;;
10;Vest-Agder;;;;;V;Venstre;3;;;;2522;;;;;
10;Vest-Agder;;;;;NKP;Norges Kommunistiske Parti;0;;;;59;;;;;
10;Vest-Agder;;;;;PP;Pensjonistpartiet;1;;;;1162;;;;;
10;Vest-Agder;;;;;RV;Rød valgallianse;0;;;;173;;;;;
10;Vest-Agder;;;;;DLF;Det Liberale Folkepartiet;1;;;;748;;;;;
10;Vest-Agder;;;;;ANDRE;Andre;0;;;;17;;;;;
11;Rogaland;;;;;A;Arbeiderpartiet;31;;;;58702;;;;;
11;Rogaland;;;;;FRP;Fremskrittspartiet;6;;;;11403;;;;;
11;Rogaland;;;;;H;Høyre;31;;;;59524;;;;;
11;Rogaland;;;;;KRF;Kristelig Folkeparti;15;;;;27857;;;;;
11;Rogaland;;;;;SP;Senterpartiet;7;;;;14101;;;;;
11;Rogaland;;;;;SV;Sosialistisk Venstreparti;3;;;;6545;;;;;
11;Rogaland;;;;;V;Venstre;5;;;;9786;;;;;
11;Rogaland;;;;;NKP;Norges Kommunistiske Parti;0;;;;157;;;;;
