Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;56;;;;62845;;;;;
01;Østfold;;;;;H;Høyre;19;;;;21645;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;11;;;;12630;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;3;;;;3532;;;;;
01;Østfold;;;;;FLV;Fellesliste Venstre;3;;;;3195;;;;;
01;Østfold;;;;;FLSP;Fellesliste Senterpartiet;8;;;;9312;;;;;
01;Østfold;;;;;ANDRE;Andre;0;;;;1;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;47;;;;59527;;;;;
02;Akershus;;;;;H;Høyre;24;;;;30496;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;6;;;;7725;;;;;
02;Akershus;;;;;SP;Senterpartiet;10;;;;12177;;;;;
02;Akershus;;;;;V;Venstre;6;;;;7623;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;2;;;;3060;;;;;
02;Akershus;;;;;SF;Sosialistisk Folkeparti;5;;;;6537;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;43;;;;123136;;;;;
03;Oslo;;;;;H;Høyre;39;;;;110862;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;5;;;;15258;;;;;
03;Oslo;;;;;V;Venstre;4;;;;12811;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;3;;;;7481;;;;;
03;Oslo;;;;;SF;Sosialistisk Folkeparti;6;;;;18117;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;60;;;;57498;;;;;
04;Hedmark;;;;;H;Høyre;10;;;;9691;;;;;
04;Hedmark;;;;;SP;Senterpartiet;18;;;;17318;;;;;
04;Hedmark;;;;;V;Venstre;3;;;;3244;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;8;;;;8067;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;12;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;56;;;;47379;;;;;
05;Oppland;;;;;H;Høyre;9;;;;7556;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;7;;;;5584;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;3;;;;2564;;;;;
05;Oppland;;;;;FLV;Fellesliste Venstre;4;;;;3536;;;;;
05;Oppland;;;;;FLSP;Fellesliste Senterpartiet;21;;;;17339;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;11;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;56;;;;52696;;;;;
06;Buskerud;;;;;H;Høyre;21;;;;19888;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;6;;;;5429;;;;;
