Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;;;;;52984;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;;;;;39816;;;;;
01;Østfold;;;;;H;Høyre;;;;;17697;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;;;;;10205;;;;;
01;Østfold;;;;;SP;Senterpartiet;;;;;7236;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;;;;;10721;;;;;
01;Østfold;;;;;V;Venstre;;;;;5943;;;;;
01;Østfold;;;;;MDG;Miljøpartiet de Grønne;;;;;180;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;;;;;107;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;;;;;1350;;;;;
01;Østfold;;;;;RV;Rød valgallianse;;;;;962;;;;;
01;Østfold;;;;;KP;Kystpartiet;;;;;394;;;;;
01;Østfold;;;;;KSP;Kristent Samlingsparti;;;;;229;;;;;
01;Østfold;;;;;FLAM;Abort-motstandernes liste;;;;;242;;;;;
01;Østfold;;;;;DN;Demokratene i Norge;;;;;127;;;;;
01;Østfold;;;;;FLMOL;Folkeliste mot oljeboring i Lofoten;;;;; Vesterålen og Senja;;;;;
01;Østfold;;;;;ANDRE;Andre;;;;;50;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;;;;;87702;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;;;;;67411;;;;;
02;Akershus;;;;;H;Høyre;;;;;59181;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;;;;;11212;;;;;
02;Akershus;;;;;SP;Senterpartiet;;;;;11328;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;;;;;22555;;;;;
02;Akershus;;;;;V;Venstre;;;;;21834;;;;;
02;Akershus;;;;;MDG;Miljøpartiet de Grønne;;;;;480;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;;;;;2102;;;;;
02;Akershus;;;;;RV;Rød valgallianse;;;;;2269;;;;;
02;Akershus;;;;;KP;Kystpartiet;;;;;559;;;;;
02;Akershus;;;;;KSP;Kristent Samlingsparti;;;;;250;;;;;
02;Akershus;;;;;FLAM;Abort-motstandernes liste;;;;;265;;;;;
02;Akershus;;;;;DN;Demokratene i Norge;;;;;132;;;;;
02;Akershus;;;;;FLMOL;Folkeliste mot oljeboring i Lofoten;;;;; Vesterålen og Senja;;;;;
02;Akershus;;;;;ANDRE;Andre;;;;;37;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;;;;;97246;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;;;;;53280;;;;;
03;Oslo;;;;;H;Høyre;;;;;61130;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;;;;;11168;;;;;
03;Oslo;;;;;SP;Senterpartiet;;;;;3270;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;;;;;41434;;;;;
03;Oslo;;;;;V;Venstre;;;;;28639;;;;;
03;Oslo;;;;;MDG;Miljøpartiet de Grønne;;;;;668;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;;;;;141;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;;;;;1346;;;;;
03;Oslo;;;;;RV;Rød valgallianse;;;;;9277;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;;;;;104;;;;;
03;Oslo;;;;;KP;Kystpartiet;;;;;551;;;;;
03;Oslo;;;;;KSP;Kristent Samlingsparti;;;;;117;;;;;
03;Oslo;;;;;FLAM;Abort-motstandernes liste;;;;;215;;;;;
03;Oslo;;;;;DN;Demokratene i Norge;;;;;248;;;;;
03;Oslo;;;;;FLMOL;Folkeliste mot oljeboring i Lofoten;;;;; Vesterålen og Senja;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;;;;;50484;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;;;;;18717;;;;;
04;Hedmark;;;;;H;Høyre;;;;;8845;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;;;;;3519;;;;;
04;Hedmark;;;;;SP;Senterpartiet;;;;;11304;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;;;;;9650;;;;;
04;Hedmark;;;;;V;Venstre;;;;;3965;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;;;;;100;;;;;
04;Hedmark;;;;;PP;Pensjonistpartiet;;;;;2492;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;;;;;560;;;;;
04;Hedmark;;;;;KP;Kystpartiet;;;;;233;;;;;
04;Hedmark;;;;;KSP;Kristent Samlingsparti;;;;;87;;;;;
04;Hedmark;;;;;DN;Demokratene i Norge;;;;;49;;;;;
04;Hedmark;;;;;FLMOL;Folkeliste mot oljeboring i Lofoten;;;;; Vesterålen og Senja;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;;;;;47202;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;;;;;18208;;;;;
05;Oppland;;;;;H;Høyre;;;;;8576;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;;;;;4285;;;;;
05;Oppland;;;;;SP;Senterpartiet;;;;;13583;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;;;;;8430;;;;;
05;Oppland;;;;;V;Venstre;;;;;4662;;;;;
05;Oppland;;;;;MDG;Miljøpartiet de Grønne;;;;;152;;;;;
05;Oppland;;;;;PP;Pensjonistpartiet;;;;;576;;;;;
