Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;54;;;;71102;;;;;
01;Østfold;;;;;H;Høyre;17;;;;22551;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;10;;;;13566;;;;;
01;Østfold;;;;;SP;Senterpartiet;10;;;;13264;;;;;
01;Østfold;;;;;V;Venstre;4;;;;5297;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;1;;;;1136;;;;;
01;Østfold;;;;;SF;Sosialistisk Folkeparti;3;;;;4381;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;45;;;;79458;;;;;
02;Akershus;;;;;H;Høyre;26;;;;45161;;;;;
02;Akershus;;;;;V;Venstre;11;;;;18399;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;1;;;;1554;;;;;
02;Akershus;;;;;SF;Sosialistisk Folkeparti;4;;;;6818;;;;;
02;Akershus;;;;;FLKRF;Fellesliste Kristelig Folkeparti;5;;;;8560;;;;;
02;Akershus;;;;;FLSP;Fellesliste Senterpartiet;8;;;;14756;;;;;
02;Akershus;;;;;ANDRE;Andre;0;;;;1;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;45;;;;137676;;;;;
03;Oslo;;;;;H;Høyre;36;;;;112130;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;7;;;;22633;;;;;
03;Oslo;;;;;V;Venstre;6;;;;18419;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;1;;;;3899;;;;;
03;Oslo;;;;;SF;Sosialistisk Folkeparti;5;;;;14619;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;2;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;61;;;;66691;;;;;
04;Hedmark;;;;;H;Høyre;10;;;;11188;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;2;;;;2307;;;;;
04;Hedmark;;;;;SP;Senterpartiet;18;;;;19298;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;2613;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;3;;;;2943;;;;;
04;Hedmark;;;;;SF;Sosialistisk Folkeparti;3;;;;3741;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;56;;;;56822;;;;;
05;Oppland;;;;;H;Høyre;8;;;;8581;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;5;;;;4848;;;;;
05;Oppland;;;;;SP;Senterpartiet;22;;;;22493;;;;;
05;Oppland;;;;;V;Venstre;5;;;;5002;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;1;;;;846;;;;;
05;Oppland;;;;;SF;Sosialistisk Folkeparti;2;;;;2383;;;;;
