Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;28;;;;39191;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;17;;;;24086;;;;;
01;Østfold;;;;;H;Høyre;20;;;;27514;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;13;;;;17790;;;;;
01;Østfold;;;;;SP;Senterpartiet;5;;;;6689;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;11;;;;16023;;;;;
01;Østfold;;;;;V;Venstre;2;;;;3501;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;99;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;1;;;;1971;;;;;
01;Østfold;;;;;RV;Rød valgallianse;1;;;;776;;;;;
01;Østfold;;;;;FLP;Fedrelandspartiet;0;;;;166;;;;;
01;Østfold;;;;;TKD;Tverrpolitisk kyst og distriktsparti;0;;;;136;;;;;
01;Østfold;;;;;KP;Kystpartiet;1;;;;822;;;;;
01;Østfold;;;;;DPP;Det Politiske Parti;1;;;;1292;;;;;
01;Østfold;;;;;KSP;Kristent Samlingsparti;0;;;;397;;;;;
01;Østfold;;;;;NFP;Norsk Folkeparti;0;;;;97;;;;;
01;Østfold;;;;;ANDRE;Andre;0;;;;179;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;24;;;;63643;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;14;;;;38830;;;;;
02;Akershus;;;;;H;Høyre;32;;;;85618;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;8;;;;21446;;;;;
02;Akershus;;;;;SP;Senterpartiet;3;;;;8747;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;12;;;;33168;;;;;
02;Akershus;;;;;V;Venstre;4;;;;10855;;;;;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;0;;;;660;;;;;
02;Akershus;;;;;NKP;Norges Kommunistiske Parti;0;;;;134;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;1;;;;2685;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;1902;;;;;
02;Akershus;;;;;FLP;Fedrelandspartiet;0;;;;267;;;;;
02;Akershus;;;;;TKD;Tverrpolitisk kyst og distriktsparti;0;;;;155;;;;;
02;Akershus;;;;;KP;Kystpartiet;1;;;;1373;;;;;
02;Akershus;;;;;KSP;Kristent Samlingsparti;0;;;;292;;;;;
02;Akershus;;;;;NFP;Norsk Folkeparti;0;;;;179;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;22;;;;64768;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;13;;;;37564;;;;;
03;Oslo;;;;;H;Høyre;29;;;;83979;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;6;;;;17536;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;1988;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;17;;;;48800;;;;;
03;Oslo;;;;;V;Venstre;6;;;;17139;;;;;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;0;;;;661;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;189;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;1;;;;1811;;;;;
03;Oslo;;;;;RV;Rød valgallianse;3;;;;8574;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;40;;;;;
03;Oslo;;;;;FLP;Fedrelandspartiet;0;;;;159;;;;;
03;Oslo;;;;;NLP;Naturlovpartiet;0;;;;87;;;;;
03;Oslo;;;;;TKD;Tverrpolitisk kyst og distriktsparti;0;;;;73;;;;;
03;Oslo;;;;;KP;Kystpartiet;0;;;;902;;;;;
03;Oslo;;;;;DPP;Det Politiske Parti;1;;;;3719;;;;;
03;Oslo;;;;;SD;Sosialdemokratene;0;;;;55;;;;;
03;Oslo;;;;;KSP;Kristent Samlingsparti;0;;;;213;;;;;
03;Oslo;;;;;NFP;Norsk Folkeparti;0;;;;103;;;;;
03;Oslo;;;;;ANDRE;Andre;0;;;;600;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;38;;;;40125;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;11;;;;11814;;;;;
04;Hedmark;;;;;H;Høyre;13;;;;13522;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;8;;;;8259;;;;;
04;Hedmark;;;;;SP;Senterpartiet;9;;;;9660;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;14;;;;14567;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;2255;;;;;
04;Hedmark;;;;;MDG;Miljøpartiet De Grønne;0;;;;111;;;;;
04;Hedmark;;;;;NKP;Norges Kommunistiske Parti;0;;;;179;;;;;
04;Hedmark;;;;;PP;Pensjonistpartiet;3;;;;3550;;;;;
04;Hedmark;;;;;RV;Rød valgallianse;0;;;;405;;;;;
04;Hedmark;;;;;FLP;Fedrelandspartiet;0;;;;108;;;;;
04;Hedmark;;;;;NLP;Naturlovpartiet;0;;;;53;;;;;
04;Hedmark;;;;;KP;Kystpartiet;1;;;;833;;;;;
04;Hedmark;;;;;DPP;Det Politiske Parti;1;;;;860;;;;;
04;Hedmark;;;;;KSP;Kristent Samlingsparti;0;;;;182;;;;;
04;Hedmark;;;;;NFP;Norsk Folkeparti;0;;;;105;;;;;
04;Hedmark;;;;;ANDRE;Andre;0;;;;93;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;36;;;;37903;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;11;;;;11189;;;;;
05;Oppland;;;;;H;Høyre;13;;;;13245;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;10;;;;10418;;;;;
05;Oppland;;;;;SP;Senterpartiet;12;;;;12604;;;;;
05;Oppland;;;;;SV;Sosialistisk Venstreparti;11;;;;11613;;;;;
05;Oppland;;;;;V;Venstre;3;;;;3445;;;;;
05;Oppland;;;;;MDG;Miljøpartiet De Grønne;0;;;;191;;;;;
05;Oppland;;;;;NKP;Norges Kommunistiske Parti;0;;;;69;;;;;
05;Oppland;;;;;PP;Pensjonistpartiet;1;;;;1023;;;;;
05;Oppland;;;;;RV;Rød valgallianse;0;;;;514;;;;;
05;Oppland;;;;;FLP;Fedrelandspartiet;0;;;;96;;;;;
05;Oppland;;;;;TKD;Tverrpolitisk kyst og distriktsparti;0;;;;396;;;;;
05;Oppland;;;;;DPP;Det Politiske Parti;1;;;;864;;;;;
05;Oppland;;;;;KSP;Kristent Samlingsparti;0;;;;211;;;;;
05;Oppland;;;;;NFP;Norsk Folkeparti;0;;;;84;;;;;
05;Oppland;;;;;ANDRE;Andre;0;;;;170;;;;;
06;Buskerud;;;;;A;Arbeiderpartiet;27;;;;36870;;;;;
06;Buskerud;;;;;FRP;Fremskrittspartiet;16;;;;21773;;;;;
06;Buskerud;;;;;H;Høyre;25;;;;32975;;;;;
06;Buskerud;;;;;KRF;Kristelig Folkeparti;9;;;;12072;;;;;
06;Buskerud;;;;;SP;Senterpartiet;6;;;;7519;;;;;
06;Buskerud;;;;;SV;Sosialistisk Venstreparti;12;;;;15581;;;;;
06;Buskerud;;;;;V;Venstre;3;;;;3551;;;;;
