Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;36;;;;52984;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;27;;;;39816;;;;;
01;Østfold;;;;;H;Høyre;12;;;;17697;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;7;;;;10205;;;;;
01;Østfold;;;;;SP;Senterpartiet;5;;;;7236;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;7;;;;10721;;;;;
01;Østfold;;;;;V;Venstre;4;;;;5943;;;;;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;0;;;;180;;;;;
01;Østfold;;;;;NKP;Norges Kommunistiske Parti;0;;;;107;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;1;;;;1350;;;;;
01;Østfold;;;;;RV;Rød valgallianse;1;;;;962;;;;;
01;Østfold;;;;;KP;Kystpartiet;0;;;;394;;;;;
01;Østfold;;;;;KSP;Kristent Samlingsparti;0;;;;229;;;;;
01;Østfold;;;;;FLAM;Abort-motstandernes liste;0;;;;242;;;;;
01;Østfold;;;;;DN;Demokratene;0;;;;127;;;;;
01;Østfold;;;;;ANDRE;Andre;0;;;;50;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;31;;;;87702;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;23;;;;67411;;;;;
02;Akershus;;;;;H;Høyre;21;;;;59181;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;4;;;;11212;;;;;
02;Akershus;;;;;SP;Senterpartiet;4;;;;11328;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;8;;;;22555;;;;;
02;Akershus;;;;;V;Venstre;8;;;;21834;;;;;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;0;;;;480;;;;;
02;Akershus;;;;;PP;Pensjonistpartiet;1;;;;2102;;;;;
02;Akershus;;;;;RV;Rød valgallianse;1;;;;2269;;;;;
02;Akershus;;;;;KP;Kystpartiet;0;;;;559;;;;;
02;Akershus;;;;;KSP;Kristent Samlingsparti;0;;;;250;;;;;
02;Akershus;;;;;FLAM;Abort-motstandernes liste;0;;;;265;;;;;
02;Akershus;;;;;DN;Demokratene;0;;;;132;;;;;
02;Akershus;;;;;ANDRE;Andre;0;;;;37;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;31;;;;97246;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;17;;;;53280;;;;;
03;Oslo;;;;;H;Høyre;20;;;;61130;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;4;;;;11168;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;3270;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;13;;;;41434;;;;;
03;Oslo;;;;;V;Venstre;9;;;;28639;;;;;
03;Oslo;;;;;MDG;Miljøpartiet De Grønne;0;;;;668;;;;;
03;Oslo;;;;;NKP;Norges Kommunistiske Parti;0;;;;141;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;0;;;;1346;;;;;
03;Oslo;;;;;RV;Rød valgallianse;3;;;;9277;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;104;;;;;
03;Oslo;;;;;KP;Kystpartiet;0;;;;551;;;;;
03;Oslo;;;;;KSP;Kristent Samlingsparti;0;;;;117;;;;;
03;Oslo;;;;;FLAM;Abort-motstandernes liste;0;;;;215;;;;;
03;Oslo;;;;;DN;Demokratene;0;;;;248;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;46;;;;50484;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;17;;;;18717;;;;;
